Species,ID,Geno.pheno,Date.1,SVL.1.mm,Mass.1.g,SVL.2.mm,Mass.2.g,Day.difference,Dead(Y/N),Growth.rate(SVL),Growth.rate(mass)
Pogona,5505,ZZf,19/1/21,48,3.3875,63,8.557,70,Alive,0.214285714,0.122242857
Pogona,3250,ZZm,20/1/21,43,2.54,88,25,183,Alive,0.245901639,0.12273224
Pogona,4523,ZZm,20/1/21,43,2.4595,81,25,183,Alive,0.207650273,0.123172131
Pogona,1303,ZWf,17/12/20,44,2.649,96,30,217,Alive,0.239631336,0.126041475
Pogona,3115,ZWf,28/1/21,43,2.616,92,25,175,Alive,0.28,0.127908571
Pogona,2301,ZZm,28/1/21,47,3.5675,101,26,175,Alive,0.308571429,0.128185714
Pogona,1300,ZZm,28/1/21,41,2.1665,93,25,175,Alive,0.297142857,0.130477143
Pogona,3020,ZWf,10/1/21,41,2.0905,50,3.284,61,Alive,0.147540984,0.132611111
Pogona,3420,ZZf,8/12/20,45.5,2.957,99,33,226,Alive,0.236725664,0.132933628
Pogona,5032,ZZm,20/1/21,47,3.1565,89,28,183,Alive,0.229508197,0.135756831
Pogona,213,ZZm,20/1/21,46,2.7115,93,29,183,Alive,0.256830601,0.143653005
Pogona,2022,ZWf,23/2/21,52,4.5415,94,26,149,Alive,0.281879195,0.144016779
Pogona,201,ZZf,2/1/21,45,3.0375,101,32,201,Alive,0.278606965,0.14409204
Pogona,2553,ZZm,4/12/20,44,2.506,48,3.105,66,Alive,0.060606061,0.14975
Pogona,223,ZWf,19/1/21,47,2.936,96,31,184,Alive,0.266304348,0.152521739
Pogona,5503,ZZm,28/1/21,41,2.083,97,29,175,Alive,0.32,0.153811429
Pogona,323,ZZm,28/1/21,47,3.495,96,31,175,Alive,0.28,0.157171429
Pogona,2502,ZWf,20/1/21,47,2.724,107,32,183,Alive,0.327868852,0.159978142
Pogona,1452,ZZf,28/1/21,44,2.436,49,3.261,76,Alive,0.065789474,0.165
