"","X","date.dd.mm.yy.","bd_liz_id","MR_O2_min","marker_sample","FMS","time_in_chamber","Geno.pheno","Date.Hatched","Phenotypic.Sex","Genotypic.Sex","mass","svl_mm","match","file","Final_MR_O2_min"
"1",376,"17/12/20",21,2.04451104375418,5140,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0371729280682578
"2",377,"17/12/20",21,1.53262202132364,6983,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0278658549331571
"3",378,"17/12/20",21,1.92799938912738,8800,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0350545343477705
"4",379,"17/12/20",21,2.03613779542583,10570,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0370206871895606
"5",380,"17/12/20",21,2.10547500047521,12306,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0382813636450038
"6",381,"17/12/20",21,2.22037435697658,14087,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0403704428541196
"7",382,"17/12/20",21,2.41818919727876,15855,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0439670763141593
"8",383,"17/12/20",21,2.58739130205236,17717,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0470434782191338
"9",384,"17/12/20",21,2.41454635852283,19397,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0439008428822333
"10",384,"17/12/20",21,2.41454635852283,19397,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0439008428822333
"11",385,"17/12/20",21,2.40787033321238,21134,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0437794606038615
"12",385,"17/12/20",21,2.40787033321238,21134,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0437794606038615
"13",386,"17/12/20",21,2.37762134972798,23049,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0432294790859633
"14",386,"17/12/20",21,2.37762134972798,23049,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0432294790859633
"15",387,"17/12/20",21,2.44484338927059,24762,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.044451697986738
"16",387,"17/12/20",21,2.44484338927059,24762,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.044451697986738
"17",388,"17/12/20",21,2.48551131089545,26490,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0451911147435536
"18",388,"17/12/20",21,2.48551131089545,26490,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0451911147435536
"19",389,"17/12/20",21,2.53107730678485,28293,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0460195873960882
"20",389,"17/12/20",21,2.53107730678485,28293,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0460195873960882
"21",390,"17/12/20",21,2.31150912105165,30093,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0420274385645755
"22",390,"17/12/20",21,2.31150912105165,30093,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0420274385645755
"23",391,"17/12/20",21,2.36679867446749,31899,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0430327031721362
"24",391,"17/12/20",21,2.36679867446749,31899,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0430327031721362
"25",392,"17/12/20",21,2.36459545694383,33743,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.042992644671706
"26",392,"17/12/20",21,2.36459545694383,33743,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.042992644671706
"27",393,"17/12/20",21,2.25870402881746,35600,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0410673459784993
"28",393,"17/12/20",21,2.25870402881746,35600,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0410673459784993
"29",394,"17/12/20",21,2.31652531021669,37420,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0421186420039398
"30",394,"17/12/20",21,2.31652531021669,37420,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0421186420039398
"31",395,"17/12/20",21,2.27051008113845,39230,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0412820014752445
"32",395,"17/12/20",21,2.27051008113845,39230,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0412820014752445
"33",396,"17/12/20",21,2.35215761906635,40989,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0427665021648427
"34",396,"17/12/20",21,2.35215761906635,40989,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0427665021648427
"35",397,"17/12/20",21,2.46716926422806,42749,2,55,"ZZf","11/26/2020","F","ZZ",5.121,46,"Data_12-18-2020_Pogona_Mux2.exp.4","Data_12-18-2020_Pogona_Mux2.exp",0.0448576229859647
